NumerTestu,Wariant,ShellSort,MergeSort,QuickSort
76,95.000% posortowana,23200,38100,24700
76,99.000% posortowana,10300,45900,21000
76,99.700% posortowana,6000,87000,44700
76,100.000% posortowana,5400,80000,11800
76,Tablica odwrotna,42900,89300,40300
77,0.000% posortowana,42000,79300,37600
77,25.000% posortowana,40000,88000,35900
77,50.000% posortowana,42100,69900,40300
77,75.000% posortowana,46400,265100,41000
77,95.000% posortowana,27700,92300,25100
77,99.000% posortowana,13100,101900,32300
77,99.700% posortowana,7700,49000,18300
77,100.000% posortowana,4400,217100,7900
77,Tablica odwrotna,53700,235400,38700
78,0.000% posortowana,43100,107200,40800
78,25.000% posortowana,59100,212300,41800
78,50.000% posortowana,52900,299500,49700
78,75.000% posortowana,48600,295700,29100
78,95.000% posortowana,32400,44100,21600
78,99.000% posortowana,8900,38500,33600
78,99.700% posortowana,4600,38400,11600
78,100.000% posortowana,3300,40900,7300
78,Tablica odwrotna,42100,86500,44000
79,0.000% posortowana,41800,74500,37500
79,25.000% posortowana,40600,72900,33800
79,50.000% posortowana,39000,61400,35200
79,75.000% posortowana,35600,53900,29300
79,95.000% posortowana,24300,43400,19800
79,99.000% posortowana,10200,42000,14500
79,99.700% posortowana,5400,38400,19300
79,100.000% posortowana,4400,35500,7100
79,Tablica odwrotna,41700,83100,37000
80,0.000% posortowana,41700,90700,36400
80,25.000% posortowana,44000,65200,37900
80,50.000% posortowana,42900,53700,43700
80,75.000% posortowana,34600,46400,28800
80,95.000% posortowana,25100,45800,18800
80,99.000% posortowana,9000,48200,16600
80,99.700% posortowana,5700,47100,22500
80,100.000% posortowana,3700,37200,7400
80,Tablica odwrotna,40500,88800,38000
81,0.000% posortowana,44300,79600,40600
81,25.000% posortowana,40700,85600,34700
81,50.000% posortowana,49700,81900,38900
81,75.000% posortowana,34700,48800,31100
81,95.000% posortowana,22800,40700,36100
81,99.000% posortowana,10400,41800,53800
81,99.700% posortowana,5900,52800,66100
81,100.000% posortowana,3200,49100,8500
81,Tablica odwrotna,41700,86500,39600
82,0.000% posortowana,41900,81200,37500
82,25.000% posortowana,40700,79000,34700
82,50.000% posortowana,46000,64000,32400
82,75.000% posortowana,34900,53000,28200
82,95.000% posortowana,23200,133400,20900
82,99.000% posortowana,9100,117900,14900
82,99.700% posortowana,7100,160100,16600
82,100.000% posortowana,8100,244200,12800
82,Tablica odwrotna,53900,281100,50200
83,0.000% posortowana,45200,98800,42200
83,25.000% posortowana,56900,221000,37600
83,50.000% posortowana,58100,229900,57100
83,75.000% posortowana,36400,59400,32800
83,95.000% posortowana,23100,83900,23600
83,99.000% posortowana,10100,46400,29100
83,99.700% posortowana,5400,237300,44300
83,100.000% posortowana,7800,186200,8500
83,Tablica odwrotna,41800,94700,38200
84,0.000% posortowana,46900,99600,40100
84,25.000% posortowana,54000,139600,41600
84,50.000% posortowana,39100,110400,48500
84,75.000% posortowana,36700,158400,34700
84,95.000% posortowana,23700,143100,21500
84,99.000% posortowana,9800,86800,16100
84,99.700% posortowana,4700,101600,21400
84,100.000% posortowana,4000,270000,8200
84,Tablica odwrotna,47200,156000,48200
85,0.000% posortowana,42900,136300,36400
85,25.000% posortowana,41100,278600,35600
85,50.000% posortowana,38700,76900,31900
85,75.000% posortowana,35600,326100,31400
85,95.000% posortowana,23600,194000,20900
85,99.000% posortowana,11000,63000,16400
85,99.700% posortowana,5900,354000,21200
85,100.000% posortowana,3300,100400,8600
85,Tablica odwrotna,41700,117500,40900
86,0.000% posortowana,42000,149300,38500
86,25.000% posortowana,40200,110200,35500
86,50.000% posortowana,38800,129100,32700
86,75.000% posortowana,35100,194300,27100
86,95.000% posortowana,22100,81500,20800
86,99.000% posortowana,9500,44200,19100
86,99.700% posortowana,5200,80300,25600
86,100.000% posortowana,3400,80600,8200
86,Tablica odwrotna,41000,250900,37200
87,0.000% posortowana,41300,250800,36000
87,25.000% posortowana,56900,148300,40400
87,50.000% posortowana,39000,116700,36000
87,75.000% posortowana,35400,214200,33800
87,95.000% posortowana,27400,265000,22900
87,99.000% posortowana,12900,193300,19800
87,99.700% posortowana,7800,102700,37100
87,100.000% posortowana,7600,182600,10800
87,Tablica odwrotna,53900,369500,47600
88,0.000% posortowana,63400,129400,45900
88,25.000% posortowana,52300,155900,62300
88,50.000% posortowana,53500,319000,41400
88,75.000% posortowana,43500,224700,36900
88,95.000% posortowana,22600,319300,25300
88,99.000% posortowana,10100,142200,32800
88,99.700% posortowana,6900,93200,47700
88,100.000% posortowana,3400,71700,10100
88,Tablica odwrotna,42000,130700,38600
89,0.000% posortowana,41600,172900,46200
89,25.000% posortowana,42400,146400,36900
89,50.000% posortowana,42400,71800,40900
89,75.000% posortowana,35100,55400,32700
89,95.000% posortowana,23700,85600,24600
89,99.000% posortowana,8600,404600,27800
89,99.700% posortowana,4600,137800,11300
89,100.000% posortowana,4800,147200,8200
89,Tablica odwrotna,42700,157100,38500
90,0.000% posortowana,42000,138300,36000
90,25.000% posortowana,48800,128200,35200
90,50.000% posortowana,38800,182100,32400
90,75.000% posortowana,45700,74400,31000
90,95.000% posortowana,23400,49100,29100
90,99.000% posortowana,10700,242500,43300
90,99.700% posortowana,5600,101300,54400
90,100.000% posortowana,3300,49300,8600
90,Tablica odwrotna,43500,269500,38900
91,0.000% posortowana,45900,138400,41900
91,25.000% posortowana,53900,111200,47500
91,50.000% posortowana,49400,208800,32500
91,75.000% posortowana,35100,57800,27400
91,95.000% posortowana,21900,122200,18900
91,99.000% posortowana,9100,340200,16400
91,99.700% posortowana,7000,212400,15700
91,100.000% posortowana,3300,187800,7300
91,Tablica odwrotna,43800,121300,41000
92,0.000% posortowana,41800,120800,37500
92,25.000% posortowana,44200,86200,40600
92,50.000% posortowana,47400,203400,33600
92,75.000% posortowana,42400,93700,35100
92,95.000% posortowana,28300,359000,27600
92,99.000% posortowana,16300,102900,19600
92,99.700% posortowana,7300,79600,34500
92,100.000% posortowana,3400,256800,11400
92,Tablica odwrotna,72800,204600,46700
93,0.000% posortowana,42000,84700,37800
93,25.000% posortowana,41000,144200,39000
93,50.000% posortowana,38700,132700,36200
93,75.000% posortowana,38300,181500,27800
93,95.000% posortowana,23900,333600,24600
93,99.000% posortowana,15700,179700,45100
93,99.700% posortowana,6700,144300,27900
93,100.000% posortowana,5300,131700,10600
93,Tablica odwrotna,53200,217400,49300
94,0.000% posortowana,52900,165700,41300
94,25.000% posortowana,73300,260000,47200
94,50.000% posortowana,44400,194100,49800
94,75.000% posortowana,43300,176200,29100
94,95.000% posortowana,29900,192400,43100
94,99.000% posortowana,17700,294700,41400
94,99.700% posortowana,7900,71900,58900
94,100.000% posortowana,4200,61400,8400
94,Tablica odwrotna,49600,283900,38800
95,0.000% posortowana,41200,252100,37700
95,25.000% posortowana,46900,126900,40000
95,50.000% posortowana,38100,147400,32300
95,75.000% posortowana,44300,68700,32100
95,95.000% posortowana,26600,140900,23100
95,99.000% posortowana,9600,79500,30100
95,99.700% posortowana,7200,99400,49600
95,100.000% posortowana,3200,79100,8800
95,Tablica odwrotna,42700,136100,38800
96,0.000% posortowana,49200,257000,44700
96,25.000% posortowana,44600,262700,41900
96,50.000% posortowana,49900,510900,38800
96,75.000% posortowana,43500,203800,42800
96,95.000% posortowana,28700,243200,30300
96,99.000% posortowana,14700,134000,27800
96,99.700% posortowana,7900,124900,31400
96,100.000% posortowana,5800,160700,13300
96,Tablica odwrotna,65400,285400,64100
97,0.000% posortowana,52200,324100,54900
97,25.000% posortowana,49900,280000,45000
97,50.000% posortowana,49500,280200,46300
97,75.000% posortowana,34900,122900,28800
97,95.000% posortowana,24300,102400,27000
97,99.000% posortowana,15200,57000,35400
97,99.700% posortowana,6100,47100,58800
97,100.000% posortowana,4100,93400,8800
97,Tablica odwrotna,50100,275100,41300
98,0.000% posortowana,42400,83500,38700
98,25.000% posortowana,44500,151700,35200
98,50.000% posortowana,40700,221900,31800
98,75.000% posortowana,36600,162900,27600
98,95.000% posortowana,24600,125100,20900
98,99.000% posortowana,9900,123300,18700
98,99.700% posortowana,7300,98800,19600
98,100.000% posortowana,3300,118700,8300
98,Tablica odwrotna,45900,200000,36900
99,0.000% posortowana,43500,199600,38600
99,25.000% posortowana,42500,119700,34100
99,50.000% posortowana,42200,279100,32100
99,75.000% posortowana,34600,140500,29100
99,95.000% posortowana,21900,47900,19400
99,99.000% posortowana,9400,256200,20700
99,99.700% posortowana,5300,288900,28100
99,100.000% posortowana,5200,157400,10100
99,Tablica odwrotna,42300,177300,42300
100,0.000% posortowana,43800,324900,40800
100,25.000% posortowana,41000,134100,41300
100,50.000% posortowana,41800,387700,35400
100,75.000% posortowana,35400,100200,27800
100,95.000% posortowana,23300,157700,26500
100,99.000% posortowana,9800,60000,14600
100,99.700% posortowana,5300,238600,21000
100,100.000% posortowana,3500,232300,8200
100,Tablica odwrotna,45700,100500,43000
